iter,objective,fw_gap,delta_norm,gamma,e_star
0,-176351.6011785818,2.1498394098e+02,0.0000000000,NaN,40
1,-184626.2131100273,2.9835025462e+01,5.0000000000,1.0000000000,79
2,-186087.9334705839,2.2966419504e-06,5.0000000000,0.6666666667,69
